Issue ID,Issue Type,Summary,Epic Name,Epic Link,Parent ID,Story Points,Priority,Labels,Description
1,Epic,Core Agent Platform,Core Agent Platform,,,,Highest,"mvp,platform","Foundational runtime that defines, hosts, and executes LLM-powered agents with shared memory, model routing, and tool access. AC: agents defined declaratively and executed; agents stream tokens and persist traces; model routing with fallback; per-run cost accounting."
2,Epic,Workflow Engine,Workflow Engine,,,,Highest,"mvp,workflow","Durably orchestrate multi-agent pipelines (plan-code-test-review-deploy) with state, retries, human pauses. AC: workflows as DAGs; survive restarts; resume after approval; live status."
3,Epic,MCP Integration Layer,MCP Integration Layer,,,,Highest,"mvp,mcp","Secure, governed layer letting agents use external tools (GitHub, secrets) via MCP. AC: MCP servers registered and health-checked; tool calls permission-gated, rate-limited, audited; secrets never reach the model."
4,Epic,Planning Agent,Planning Agent,,,,High,"mvp,agents","Convert NL request into a validated requirements spec and a structured implementation plan. AC: structured spec + task graph; flags ambiguities; plan is input contract for Coding Agent."
5,Epic,Coding Agent,Coding Agent,,,,Highest,"mvp,agents","Generate and modify multi-file code to satisfy a plan in an isolated sandbox with self-correction. AC: compiling, lint-passing multi-file changes committed to a branch; iterates on test/lint feedback."
6,Epic,Code Review Agent,Code Review Agent,,,,High,"mvp,agents","Automatically review generated code for correctness, security, style, plan-conformance and post feedback. AC: structured findings (severity, file/line); blocks or approves per policy; posts inline PR comments."
7,Epic,Testing Agent,Testing Agent,,,,High,"mvp,agents","Generate, run, and report tests for produced code; feed failures back to coding. AC: relevant tests generated; executed in sandbox; coverage + results reported; failures loop back."
8,Epic,Deployment Agent,Deployment Agent,,,,Medium,"mvp,agents,optional","Package, deploy, and verify the app to AWS (single demo stack, feature-flagged for MVP). AC: builds artifact, deploys to target env, returns live URL/status."
9,Epic,Human Approval System,Human Approval System,,,,Highest,"mvp,governance","First-class human-in-the-loop governance: gates, notifications, decision capture, audit. AC: configurable gates pause workflows; approvers notified; decisions captured and audited."
10,Epic,Monitoring & Observability,Monitoring & Observability,,,,High,"mvp,observability","Observe agents, workflows, and costs. AC: metrics/logs/traces across services and runs; basic cost dashboards."
11,Epic,SaaS Platform,SaaS Platform,,,,Highest,"mvp,saas","Multi-tenant SaaS shell: auth, orgs, request submission, run dashboard, GitHub onboarding. AC: users sign up, join orgs, submit requests, watch runs; tenant isolation enforced."
100,Story,Agent Definition & Registry,,Core Agent Platform,,5,High,"mvp,platform","As a platform engineer, I want to define agents declaratively so new roles are added without code changes. AC: agent definitions CRUD-able, versioned, schema-validated, retrievable at execution time."
101,Story,LLM Gateway & Model Router (Anthropic),,Core Agent Platform,,5,Highest,"mvp,platform","As a platform engineer, I want a unified LLM gateway so agents call models with consistent routing, retries, and cost tracking. MVP: Anthropic only, router stubbed for multi-provider. AC: single internal API for completions/tools/streaming; retries+fallback; per-call cost telemetry."
102,Story,Agent Execution Runtime (Agent Loop),,Core Agent Platform,,8,Highest,"mvp,platform","As a developer, I want a reliable agent loop so an agent can reason, call tools, observe, and produce structured output. AC: multi-step tool use; max-iterations + token budget; emits step events; validated final output."
103,Story,Agent Memory & Context Store (basic),,Core Agent Platform,,5,Medium,"mvp,platform","As an agent, I want short- and long-term memory so I retain project context. MVP basic. AC: store/retrieve memories; retrieval returns relevant context with citations."
104,Story,Agent Tracing & Cost Accounting,,Core Agent Platform,,5,High,"mvp,platform","As an operator, I want full agent traces and per-run cost so I can debug and bill. AC: complete replayable trace per run; cost rollups by run/project/org."
110,Story,Workflow Definition & DAG Engine,,Workflow Engine,,5,High,"mvp,workflow","As a platform engineer, I want workflows defined as DAGs so agent steps run in order with dependencies. AC: workflows in YAML/JSON; conditional + parallel branches; validated before run."
111,Story,Durable Execution & State Persistence,,Workflow Engine,,8,Highest,"mvp,workflow","As an operator, I want workflows to survive crashes so long runs aren't lost. AC: killing a worker resumes from last checkpoint; idempotent side effects."
112,Story,Human-in-the-Loop Pause/Resume,,Workflow Engine,,5,Highest,"mvp,workflow","As a workflow author, I want steps that pause for human approval so risky actions get sign-off. AC: workflow suspends, emits approval request, resumes on decision with timeout policy."
113,Story,Retries (minimal),,Workflow Engine,,2,Medium,"mvp,workflow","MVP minimal of error handling: per-step retry policy only. AC: configurable retries with backoff and retryable-error classification."
114,Story,Workflow Orchestrator API & Status,,Workflow Engine,,5,High,"mvp,workflow","As a user, I want to start, watch, and cancel workflow runs. AC: start/cancel/retry endpoints; live status via WebSocket/SSE; per-step status visible."
120,Story,MCP Client & Server Registry,,MCP Integration Layer,,8,Highest,"mvp,mcp","As a platform engineer, I want to register MCP servers so agents can discover and invoke tools. AC: register/list/health-check servers; tool catalog auto-synced; schema surfaced to agent loop."
121,Story,Tool Permissioning & Policy (basic),,MCP Integration Layer,,5,High,"mvp,mcp","As a security admin, I want per-agent/org tool permissions. MVP basic. AC: denied calls blocked + audited; approval-required tools route through Approval Service."
122,Story,GitHub MCP Server,,MCP Integration Layer,,5,Highest,"mvp,mcp,github","As a coding agent, I want GitHub tools to read repos, create branches, commit, and open PRs. AC: clone/read, create branch, push commits, open PR, post review comments."
123,Story,Secrets & Credential Vault,,MCP Integration Layer,,5,Highest,"mvp,mcp,security","As a security admin, I want tool credentials in a vault so secrets never reach the model. AC: secrets encrypted at rest; injected only at call time; redacted from logs/traces."
130,Story,Requirement Analysis & Clarification,,Planning Agent,,5,High,"mvp,agents","As a user, I want the planner to analyze my request and ask clarifying questions. AC: structured requirements doc; raises clarifying questions when confidence is low; incorporates answers."
131,Story,Implementation Plan Generation,,Planning Agent,,5,High,"mvp,agents","As a coding agent, I want a dependency-ordered task plan. AC: validated task graph; each task has done-criteria; ordering respects dependencies."
132,Story,Plan Grounding (basic),,Planning Agent,,5,Medium,"mvp,agents","As a planner, I want to ground plans in the existing codebase. MVP basic. AC: plan references real files/modules; respects detected conventions."
140,Story,Isolated Workspace / Sandbox,,Coding Agent,,8,Highest,"mvp,agents,sandbox","As an operator, I want code generated in an isolated sandbox so untrusted execution is contained. AC: clean isolated FS per run; resource-limited; destroyed after run; no host access."
141,Story,Code Generation & Multi-File Editing,,Coding Agent,,5,Highest,"mvp,agents","As a coding agent, I want to read and edit multiple files to implement a task. AC: coherent multi-file changes; valid diffs; matches plan tasks (NestJS CRUD exemplar)."
142,Story,"Build, Lint & Self-Correction Loop",,Coding Agent,,5,High,"mvp,agents","As a coding agent, I want to compile and lint and fix errors before review. AC: code compiles and passes lint before handoff; failures retried with limits."
143,Story,Commit & Branch Management,,Coding Agent,,2,High,"mvp,agents","As a coding agent, I want to commit to a feature branch ready for PR. AC: clean branch with descriptive conventional commits pushed to remote."
150,Story,Diff-Aware Review Engine,,Code Review Agent,,5,High,"mvp,agents","As a reviewer agent, I want to analyze the PR diff so I focus on what changed. AC: findings reference exact file/line; categorized; severity-rated."
151,Story,Secret Scan (basic security),,Code Review Agent,,5,Medium,"mvp,agents,security","MVP basic of security checks: secret scanning only. AC: leaked secrets in the diff flagged before merge."
152,Story,Review Posting & Merge Gate,,Code Review Agent,,5,High,"mvp,agents","As a user, I want review results posted to the PR with a clear gate. AC: inline comments posted; PR status check set; merge blocked on critical findings per policy."
160,Story,Test Generation,,Testing Agent,,5,High,"mvp,agents","As a testing agent, I want to generate tests from the spec and code. AC: tests map to acceptance criteria; runnable; cover happy + edge paths."
161,Story,Test Execution & Reporting,,Testing Agent,,5,High,"mvp,agents","As a user, I want tests run automatically with a clear report. AC: pass/fail + coverage reported; flaky/error distinguished; artifacts saved."
162,Story,Failure Feedback Loop,,Testing Agent,,5,High,"mvp,agents","As a workflow, I want test failures routed back to coding. AC: failures trigger fix attempts up to a cap, then escalate to human."
170,Story,Build & Artifact Packaging,,Deployment Agent,,5,Medium,"mvp,agents,optional","As a deployment agent, I want a deployable artifact. AC: reproducible image/artifact built + pushed to ECR; tagged with run/commit."
171,Story,Deploy to Target Environment (single stack),,Deployment Agent,,8,Medium,"mvp,agents,optional","As a user, I want my app deployed to a demo environment. AC: app deployed via CDK to ECS/Lambda; config/secrets wired; endpoint returned."
180,Story,Approval Gate Configuration (basic),,Human Approval System,,5,High,"mvp,governance","As an admin, I want to configure where approvals are required. MVP basic. AC: gates configurable per workflow/step/tool; approver roles assignable."
181,Story,Approval Request & Decision Flow,,Human Approval System,,5,Highest,"mvp,governance","As an approver, I want to review context and approve/reject/edit. AC: full context shown; decision (approve/reject/changes) resumes workflow."
182,Story,Notifications & Escalation (Slack+email),,Human Approval System,,5,High,"mvp,governance","As an approver, I want timely notifications and escalation. AC: notified on request; reminders; SLA breach escalates; timeout policy applied."
183,Story,Audit Log (basic),,Human Approval System,,5,High,"mvp,governance","As a compliance officer, I want an immutable audit trail. MVP basic. AC: append-only, queryable audit log with actor/time/context."
190,Story,Telemetry Pipeline (Logs/Metrics/Traces),,Monitoring & Observability,,5,High,"mvp,observability","As an operator, I want centralized telemetry. AC: all services emit OTel; traces correlate request-workflow-agent-tool; dashboards available."
191,Story,Run & Cost Dashboards (basic),,Monitoring & Observability,,5,Medium,"mvp,observability","As an admin, I want run-success and cost dashboards. MVP basic. AC: success rate, duration, cost-per-run, org spend visible."
200,Story,"Auth, Orgs & RBAC",,SaaS Platform,,5,Highest,"mvp,saas","As a user, I want secure sign-in and org-based access. AC: OAuth/SSO sign-in; org membership + roles enforced; row-level tenant isolation."
201,Story,Request Submission & Run Dashboard,,SaaS Platform,,8,Highest,"mvp,saas","As a user, I want to submit a request and watch the run. AC: submit request starts workflow; live step status; view PR/test/deploy artifacts."
202,Story,Onboarding & GitHub Integration Setup,,SaaS Platform,,5,High,"mvp,saas","As a new org, I want guided setup of GitHub. AC: org connects GitHub via wizard; credentials stored in vault; test connection passes."
